A,B,Step,InitCondNum,State
0,0,1,1,00
1,1,2,1,11
0,0,3,1,00
1,1,4,1,11
0,0,5,1,00
1,1,6,1,11
0,0,7,1,00
1,1,8,1,11
0,0,9,1,00
1,1,10,1,11
0,0,11,1,00
1,1,12,1,11
0,0,13,1,00
1,1,14,1,11
0,0,15,1,00
1,1,16,1,11
0,0,17,1,00
1,1,18,1,11
0,0,19,1,00
1,1,20,1,11
0,0,21,1,00
1,1,22,1,11
0,0,23,1,00
1,1,24,1,11
0,0,25,1,00
1,1,26,1,11
0,0,27,1,00
1,1,28,1,11
0,0,29,1,00
1,1,30,1,11
0,0,31,1,00
1,1,32,1,11
0,0,33,1,00
1,1,34,1,11
0,0,35,1,00
1,1,36,1,11
0,0,37,1,00
1,1,38,1,11
0,0,39,1,00
1,1,40,1,11
0,0,41,1,00
1,1,42,1,11
0,0,43,1,00
1,1,44,1,11
0,0,45,1,00
1,1,46,1,11
0,0,47,1,00
1,1,48,1,11
0,0,49,1,00
1,1,50,1,11
0,0,51,1,00
1,1,52,1,11
0,0,53,1,00
1,1,54,1,11
0,0,55,1,00
1,1,56,1,11
0,0,57,1,00
1,1,58,1,11
0,0,59,1,00
1,1,60,1,11
0,0,61,1,00
1,1,62,1,11
0,0,63,1,00
1,1,64,1,11
0,0,65,1,00
1,1,66,1,11
0,0,67,1,00
1,1,68,1,11
0,0,69,1,00
1,1,70,1,11
0,0,71,1,00
1,1,72,1,11
0,0,73,1,00
1,1,74,1,11
0,0,75,1,00
1,1,76,1,11
0,0,77,1,00
1,1,78,1,11
0,0,79,1,00
1,1,80,1,11
0,0,81,1,00
1,1,82,1,11
0,0,83,1,00
1,1,84,1,11
0,0,85,1,00
1,1,86,1,11
0,0,87,1,00
1,1,88,1,11
0,0,89,1,00
1,1,90,1,11
0,0,91,1,00
1,1,92,1,11
0,0,93,1,00
1,1,94,1,11
0,0,95,1,00
1,1,96,1,11
0,0,97,1,00
1,1,98,1,11
0,0,99,1,00
1,1,100,1,11
0,0,101,1,00
1,0,1,2,10
1,0,2,2,10
1,0,3,2,10
1,0,4,2,10
1,0,5,2,10
1,0,6,2,10
1,0,7,2,10
1,0,8,2,10
1,0,9,2,10
1,0,10,2,10
1,0,11,2,10
1,0,12,2,10
1,0,13,2,10
1,0,14,2,10
1,0,15,2,10
1,0,16,2,10
1,0,17,2,10
1,0,18,2,10
1,0,19,2,10
1,0,20,2,10
1,0,21,2,10
1,0,22,2,10
1,0,23,2,10
1,0,24,2,10
1,0,25,2,10
1,0,26,2,10
1,0,27,2,10
1,0,28,2,10
1,0,29,2,10
1,0,30,2,10
1,0,31,2,10
1,0,32,2,10
1,0,33,2,10
1,0,34,2,10
1,0,35,2,10
1,0,36,2,10
1,0,37,2,10
1,0,38,2,10
1,0,39,2,10
1,0,40,2,10
1,0,41,2,10
1,0,42,2,10
1,0,43,2,10
1,0,44,2,10
1,0,45,2,10
1,0,46,2,10
1,0,47,2,10
1,0,48,2,10
1,0,49,2,10
1,0,50,2,10
1,0,51,2,10
1,0,52,2,10
1,0,53,2,10
1,0,54,2,10
1,0,55,2,10
1,0,56,2,10
1,0,57,2,10
1,0,58,2,10
1,0,59,2,10
1,0,60,2,10
1,0,61,2,10
1,0,62,2,10
1,0,63,2,10
1,0,64,2,10
1,0,65,2,10
1,0,66,2,10
1,0,67,2,10
1,0,68,2,10
1,0,69,2,10
1,0,70,2,10
1,0,71,2,10
1,0,72,2,10
1,0,73,2,10
1,0,74,2,10
