A,B,Step,InitCondNum,State
1,0,1,1,10
1,0,2,1,10
1,0,3,1,10
0,0,4,1,00
0,1,5,1,01
0,0,6,1,00
1,0,7,1,10
0,0,8,1,00
1,0,9,1,10
0,0,10,1,00
1,0,11,1,10
1,0,12,1,10
0,0,13,1,00
1,0,14,1,10
1,0,15,1,10
1,0,16,1,10
0,0,17,1,00
0,1,18,1,01
0,1,19,1,01
0,0,20,1,00
0,1,21,1,01
0,0,22,1,00
0,1,23,1,01
0,0,24,1,00
1,0,25,1,10
1,0,26,1,10
1,0,27,1,10
0,0,28,1,00
0,1,29,1,01
0,1,30,1,01
0,1,31,1,01
0,1,32,1,01
0,0,33,1,00
1,0,34,1,10
1,0,35,1,10
0,0,36,1,00
1,0,37,1,10
1,0,38,1,10
1,0,39,1,10
1,0,40,1,10
1,0,41,1,10
1,0,42,1,10
0,0,43,1,00
0,1,44,1,01
0,0,45,1,00
1,0,46,1,10
1,0,47,1,10
1,0,48,1,10
0,0,49,1,00
1,0,50,1,10
0,0,51,1,00
1,0,52,1,10
0,0,53,1,00
1,0,54,1,10
1,0,55,1,10
0,0,56,1,00
0,1,57,1,01
0,0,58,1,00
0,1,59,1,01
0,1,60,1,01
0,0,61,1,00
0,1,62,1,01
0,0,63,1,00
0,1,64,1,01
0,1,65,1,01
0,1,66,1,01
0,0,67,1,00
1,0,68,1,10
0,0,69,1,00
0,1,70,1,01
0,1,71,1,01
0,0,72,1,00
1,0,73,1,10
1,0,74,1,10
1,0,75,1,10
0,0,76,1,00
1,0,77,1,10
0,0,78,1,00
1,0,79,1,10
0,0,80,1,00
0,1,81,1,01
0,0,82,1,00
1,0,83,1,10
1,0,84,1,10
1,0,85,1,10
0,0,86,1,00
1,0,87,1,10
1,0,88,1,10
1,0,89,1,10
1,0,90,1,10
0,0,91,1,00
0,1,92,1,01
0,0,93,1,00
0,1,94,1,01
0,1,95,1,01
0,0,96,1,00
1,0,97,1,10
0,0,98,1,00
1,0,99,1,10
0,0,100,1,00
0,1,101,1,01
1,0,1,1,10
0,0,2,1,00
0,1,3,1,01
0,1,4,1,01
0,0,5,1,00
0,1,6,1,01
0,0,7,1,00
1,0,8,1,10
1,0,9,1,10
0,0,10,1,00
0,1,11,1,01
0,0,12,1,00
1,0,13,1,10
0,0,14,1,00
0,1,15,1,01
0,1,16,1,01
0,0,17,1,00
0,1,18,1,01
0,1,19,1,01
0,1,20,1,01
0,1,21,1,01
0,1,22,1,01
0,0,23,1,00
1,0,24,1,10
1,0,25,1,10
1,0,26,1,10
1,0,27,1,10
1,0,28,1,10
1,0,29,1,10
0,0,30,1,00
1,0,31,1,10
1,0,32,1,10
1,0,33,1,10
0,0,34,1,00
1,0,35,1,10
1,0,36,1,10
1,0,37,1,10
1,0,38,1,10
1,0,39,1,10
1,0,40,1,10
0,0,41,1,00
1,0,42,1,10
0,0,43,1,00
1,0,44,1,10
1,0,45,1,10
0,0,46,1,00
0,1,47,1,01
0,1,48,1,01
0,0,49,1,00
1,0,50,1,10
0,0,51,1,00
1,0,52,1,10
1,0,53,1,10
0,0,54,1,00
0,1,55,1,01
0,1,56,1,01
0,1,57,1,01
0,0,58,1,00
1,0,59,1,10
0,0,60,1,00
1,0,61,1,10
0,0,62,1,00
1,0,63,1,10
0,0,64,1,00
1,0,65,1,10
0,0,66,1,00
1,0,67,1,10
1,0,68,1,10
1,0,69,1,10
1,0,70,1,10
1,0,71,1,10
0,0,72,1,00
0,1,73,1,01
0,0,74,1,00
1,0,75,1,10
0,0,76,1,00
1,0,77,1,10
1,0,78,1,10
1,0,79,1,10
0,0,80,1,00
1,0,81,1,10
1,0,82,1,10
0,0,83,1,00
0,1,84,1,01
0,1,85,1,01
0,0,86,1,00
0,1,87,1,01
0,1,88,1,01
0,1,89,1,01
0,1,90,1,01
0,1,91,1,01
0,0,92,1,00
0,1,93,1,01
0,1,94,1,01
0,1,95,1,01
0,0,96,1,00
1,0,97,1,10
1,0,98,1,10
0,0,99,1,00
1,0,100,1,10
1,0,101,1,10
1,0,1,1,10
1,0,2,1,10
1,0,3,1,10
0,0,4,1,00
1,0,5,1,10
1,0,6,1,10
1,0,7,1,10
1,0,8,1,10
1,0,9,1,10
0,0,10,1,00
0,1,11,1,01
0,1,12,1,01
0,0,13,1,00
1,0,14,1,10
1,0,15,1,10
0,0,16,1,00
0,1,17,1,01
0,1,18,1,01
0,0,19,1,00
0,1,20,1,01
0,0,21,1,00
1,0,22,1,10
0,0,23,1,00
0,1,24,1,01
0,1,25,1,01
0,0,26,1,00
1,0,27,1,10
1,0,28,1,10
1,0,29,1,10
1,0,30,1,10
0,0,31,1,00
0,1,32,1,01
0,0,33,1,00
0,1,34,1,01
0,0,35,1,00
0,1,36,1,01
0,0,37,1,00
0,1,38,1,01
0,0,39,1,00
0,1,40,1,01
0,1,41,1,01
0,1,42,1,01
0,1,43,1,01
0,1,44,1,01
0,0,45,1,00
1,0,46,1,10
1,0,47,1,10
1,0,48,1,10
1,0,49,1,10
1,0,50,1,10
1,0,51,1,10
0,0,52,1,00
0,1,53,1,01
0,0,54,1,00
1,0,55,1,10
1,0,56,1,10
0,0,57,1,00
0,1,58,1,01
0,1,59,1,01
0,1,60,1,01
0,1,61,1,01
0,1,62,1,01
0,1,63,1,01
0,1,64,1,01
0,0,65,1,00
1,0,66,1,10
0,0,67,1,00
1,0,68,1,10
1,0,69,1,10
1,0,70,1,10
0,0,71,1,00
0,1,72,1,01
0,0,73,1,00
0,1,74,1,01
0,0,75,1,00
0,1,76,1,01
0,0,77,1,00
0,1,78,1,01
0,0,79,1,00
1,0,80,1,10
1,0,81,1,10
0,0,82,1,00
0,1,83,1,01
0,0,84,1,00
1,0,85,1,10
0,0,86,1,00
0,1,87,1,01
0,1,88,1,01
0,1,89,1,01
0,0,90,1,00
0,1,91,1,01
0,1,92,1,01
0,1,93,1,01
0,1,94,1,01
0,0,95,1,00
1,0,96,1,10
1,0,97,1,10
0,0,98,1,00
0,1,99,1,01
0,1,100,1,01
0,0,101,1,00
1,0,1,1,10
1,0,2,1,10
1,0,3,1,10
0,0,4,1,00
1,0,5,1,10
1,0,6,1,10
1,0,7,1,10
0,0,8,1,00
0,1,9,1,01
0,1,10,1,01
0,1,11,1,01
0,0,12,1,00
0,1,13,1,01
0,0,14,1,00
0,1,15,1,01
0,0,16,1,00
0,1,17,1,01
0,0,18,1,00
0,1,19,1,01
0,0,20,1,00
0,1,21,1,01
0,1,22,1,01
0,1,23,1,01
0,1,24,1,01
0,1,25,1,01
0,1,26,1,01
0,1,27,1,01
0,0,28,1,00
0,1,29,1,01
0,1,30,1,01
0,0,31,1,00
0,1,32,1,01
0,0,33,1,00
0,1,34,1,01
0,1,35,1,01
0,0,36,1,00
0,1,37,1,01
0,1,38,1,01
0,0,39,1,00
0,1,40,1,01
0,0,41,1,00
1,0,42,1,10
0,0,43,1,00
1,0,44,1,10
0,0,45,1,00
1,0,46,1,10
1,0,47,1,10
0,0,48,1,00
1,0,49,1,10
1,0,50,1,10
0,0,51,1,00
0,1,52,1,01
0,0,53,1,00
1,0,54,1,10
1,0,55,1,10
1,0,56,1,10
1,0,57,1,10
1,0,58,1,10
1,0,59,1,10
0,0,60,1,00
1,0,61,1,10
1,0,62,1,10
1,0,63,1,10
0,0,64,1,00
0,1,65,1,01
0,1,66,1,01
0,0,67,1,00
0,1,68,1,01
0,0,69,1,00
0,1,70,1,01
0,1,71,1,01
0,1,72,1,01
0,1,73,1,01
0,0,74,1,00
0,1,75,1,01
0,0,76,1,00
1,0,77,1,10
1,0,78,1,10
1,0,79,1,10
0,0,80,1,00
1,0,81,1,10
0,0,82,1,00
0,1,83,1,01
0,1,84,1,01
0,1,85,1,01
