State,Next_State,Count
000,000,52
000,001,4
000,010,7
000,100,2
001,001,12413
001,010,2731
001,011,17
001,100,2211
001,101,11
001,110,1
010,001,2731
010,010,9896
010,011,16
010,100,2987
010,101,3
010,110,14
011,001,26
011,010,21
011,011,63
011,100,2
011,101,5
011,110,6
100,001,2213
100,010,2979
100,011,1
100,100,11650
100,101,15
100,110,19
101,001,16
101,010,3
101,011,7
101,100,20
101,101,58
101,110,8
110,001,1
110,010,27
110,011,3
110,100,27
110,101,7
110,110,72
111,011,5
111,101,3
111,110,3
111,111,44
