A,B,C,Step,InitCondNum
0,0,1,1,1
0,0,1,2,1
0,0,1,3,1
0,0,1,4,1
0,0,1,5,1
0,0,1,6,1
0,0,1,7,1
0,0,1,8,1
0,0,1,9,1
0,0,1,10,1
0,0,1,11,1
1,1,1,1,2
1,1,0,2,2
1,1,0,3,2
1,1,0,4,2
1,1,0,5,2
1,1,0,6,2
1,1,0,7,2
1,1,0,8,2
1,1,0,9,2
1,1,0,10,2
1,1,0,11,2
1,0,1,1,3
1,0,0,2,3
1,0,0,3,3
1,0,0,4,3
1,0,0,5,3
1,0,0,6,3
1,0,0,7,3
1,0,0,8,3
1,0,0,9,3
1,0,0,10,3
1,0,0,11,3
0,0,0,1,4
0,0,0,2,4
0,0,0,3,4
0,0,0,4,4
0,0,0,5,4
0,0,0,6,4
0,0,0,7,4
0,0,0,8,4
0,0,0,9,4
0,0,0,10,4
0,0,0,11,4
0,1,1,1,5
0,0,1,2,5
0,0,1,3,5
0,0,1,4,5
0,0,1,5,5
0,0,1,6,5
0,0,1,7,5
0,0,1,8,5
0,0,1,9,5
0,0,1,10,5
0,0,1,11,5
1,1,0,1,6
0,1,0,2,6
0,1,0,3,6
0,1,0,4,6
0,1,0,5,6
0,1,0,6,6
0,1,0,7,6
0,1,0,8,6
0,1,0,9,6
0,1,0,10,6
0,1,0,11,6
0,0,0,1,7
0,0,0,2,7
0,0,0,3,7
0,0,0,4,7
0,0,0,5,7
0,0,0,6,7
0,0,0,7,7
0,0,0,8,7
0,0,0,9,7
0,0,0,10,7
0,0,0,11,7
0,1,1,1,8
0,1,0,2,8
0,1,0,3,8
0,1,0,4,8
0,1,0,5,8
0,1,0,6,8
0,1,0,7,8
0,1,0,8,8
0,1,0,9,8
0,1,0,10,8
0,1,0,11,8
1,1,1,1,9
1,0,1,2,9
1,0,1,3,9
1,0,1,4,9
1,0,1,5,9
1,0,1,6,9
1,0,1,7,9
1,0,1,8,9
1,0,1,9,9
1,0,1,10,9
1,0,1,11,9
0,0,1,1,10
0,0,1,2,10
0,0,1,3,10
0,0,1,4,10
0,0,1,5,10
0,0,1,6,10
0,0,1,7,10
0,0,1,8,10
0,0,1,9,10
0,0,1,10,10
0,0,1,11,10
0,0,1,1,11
0,0,1,2,11
0,0,1,3,11
0,0,1,4,11
0,0,1,5,11
0,0,1,6,11
0,0,1,7,11
0,0,1,8,11
0,0,1,9,11
0,0,1,10,11
0,0,1,11,11
1,1,0,1,12
1,1,0,2,12
1,1,0,3,12
1,1,0,4,12
1,1,0,5,12
1,1,0,6,12
1,1,0,7,12
1,1,0,8,12
1,1,0,9,12
1,1,0,10,12
1,1,0,11,12
0,0,1,1,13
0,0,1,2,13
0,0,1,3,13
0,0,1,4,13
0,0,1,5,13
0,0,1,6,13
0,0,1,7,13
0,0,1,8,13
0,0,1,9,13
0,0,1,10,13
0,0,1,11,13
1,1,0,1,14
1,1,0,2,14
1,1,0,3,14
1,1,0,4,14
1,1,0,5,14
1,1,0,6,14
1,1,0,7,14
1,1,0,8,14
1,1,0,9,14
1,1,0,10,14
1,1,0,11,14
0,1,0,1,15
0,1,0,2,15
0,1,0,3,15
0,1,0,4,15
0,1,0,5,15
0,1,0,6,15
0,1,0,7,15
0,1,0,8,15
0,1,0,9,15
0,1,0,10,15
0,1,0,11,15
1,1,1,1,16
1,0,1,2,16
1,0,1,3,16
1,0,1,4,16
1,0,1,5,16
1,0,1,6,16
1,0,1,7,16
1,0,1,8,16
1,0,1,9,16
1,0,1,10,16
1,0,1,11,16
1,0,1,1,17
0,0,1,2,17
0,0,1,3,17
0,0,1,4,17
0,0,1,5,17
0,0,1,6,17
0,0,1,7,17
0,0,1,8,17
0,0,1,9,17
0,0,1,10,17
0,0,1,11,17
1,1,1,1,18
0,1,1,2,18
0,1,1,3,18
0,1,1,4,18
0,1,1,5,18
0,1,1,6,18
0,1,1,7,18
0,1,1,8,18
0,1,1,9,18
0,1,1,10,18
0,1,1,11,18
0,1,1,1,19
0,0,1,2,19
0,0,1,3,19
0,0,1,4,19
0,0,1,5,19
0,0,1,6,19
0,0,1,7,19
0,0,1,8,19
0,0,1,9,19
0,0,1,10,19
0,0,1,11,19
1,0,0,1,20
1,0,0,2,20
1,0,0,3,20
1,0,0,4,20
1,0,0,5,20
1,0,0,6,20
1,0,0,7,20
1,0,0,8,20
1,0,0,9,20
1,0,0,10,20
1,0,0,11,20
1,0,0,1,21
1,0,0,2,21
1,0,0,3,21
1,0,0,4,21
1,0,0,5,21
1,0,0,6,21
1,0,0,7,21
1,0,0,8,21
1,0,0,9,21
1,0,0,10,21
1,0,0,11,21
1,1,0,1,22
1,1,0,2,22
1,1,0,3,22
1,1,0,4,22
1,1,0,5,22
1,1,0,6,22
1,1,0,7,22
1,1,0,8,22
1,1,0,9,22
1,1,0,10,22
1,1,0,11,22
1,0,1,1,23
1,0,0,2,23
1,0,0,3,23
1,0,0,4,23
1,0,0,5,23
1,0,0,6,23
1,0,0,7,23
1,0,0,8,23
1,0,0,9,23
1,0,0,10,23
1,0,0,11,23
1,0,1,1,24
1,0,0,2,24
1,0,0,3,24
1,0,0,4,24
1,0,0,5,24
1,0,0,6,24
1,0,0,7,24
1,0,0,8,24
1,0,0,9,24
1,0,0,10,24
1,0,0,11,24
1,1,0,1,25
0,1,0,2,25
0,1,0,3,25
0,1,0,4,25
0,1,0,5,25
0,1,0,6,25
0,1,0,7,25
0,1,0,8,25
0,1,0,9,25
0,1,0,10,25
0,1,0,11,25
1,0,0,1,26
1,0,0,2,26
1,0,0,3,26
1,0,0,4,26
1,0,0,5,26
1,0,0,6,26
1,0,0,7,26
1,0,0,8,26
1,0,0,9,26
1,0,0,10,26
1,0,0,11,26
1,0,0,1,27
1,0,0,2,27
1,0,0,3,27
1,0,0,4,27
1,0,0,5,27
1,0,0,6,27
1,0,0,7,27
1,0,0,8,27
1,0,0,9,27
1,0,0,10,27
1,0,0,11,27
0,0,0,1,28
0,0,0,2,28
0,0,0,3,28
0,0,0,4,28
0,0,0,5,28
0,0,0,6,28
0,0,0,7,28
0,0,0,8,28
0,0,0,9,28
0,0,0,10,28
0,0,0,11,28
1,0,0,1,29
1,0,0,2,29
1,0,0,3,29
1,0,0,4,29
1,0,0,5,29
1,0,0,6,29
1,0,0,7,29
1,0,0,8,29
1,0,0,9,29
1,0,0,10,29
1,0,0,11,29
1,1,0,1,30
